"表題：","都道府県・市区町村のすがた（社会・人口統計体系）"
"公開日：","2022年06月21日"

"***","調査又は集計していないもの"
"-","データが得られないもの"
"X","数値が秘匿されているもの"

"","","","","/項目 コード","A1101",""
調査年 コード,調査年,"地域 コード","地域",/項目,"A1101_総人口【人】","注釈"
"2015100000","2015年度","01100","北海道 札幌市","","1,952,356",""
"2015100000","2015年度","01202","北海道 函館市","","265,979",""
"2015100000","2015年度","01203","北海道 小樽市","","121,924",""
"2015100000","2015年度","01204","北海道 旭川市","","339,605",""
"2015100000","2015年度","01205","北海道 室蘭市","","88,564",""
"2015100000","2015年度","01206","北海道 釧路市","","174,742",""
"2015100000","2015年度","01207","北海道 帯広市","","169,327",""
"2015100000","2015年度","01208","北海道 北見市","","121,226",""
"2015100000","2015年度","01209","北海道 夕張市","","8,843",""
"2015100000","2015年度","01210","北海道 岩見沢市","","84,499",""
"2015100000","2015年度","01211","北海道 網走市","","39,077",""
"2015100000","2015年度","01212","北海道 留萌市","","22,221",""
"2015100000","2015年度","01213","北海道 苫小牧市","","172,737",""
"2015100000","2015年度","01214","北海道 稚内市","","36,380",""
"2015100000","2015年度","01215","北海道 美唄市","","23,035",""
"2015100000","2015年度","01216","北海道 芦別市","","14,676",""
"2015100000","2015年度","01217","北海道 江別市","","120,636",""
"2015100000","2015年度","01218","北海道 赤平市","","11,105",""
"2015100000","2015年度","01219","北海道 紋別市","","23,109",""
"2015100000","2015年度","01220","北海道 士別市","","19,914",""
"2015100000","2015年度","01221","北海道 名寄市","","29,048",""
"2015100000","2015年度","01222","北海道 三笠市","","9,076",""
"2015100000","2015年度","01223","北海道 根室市","","26,917",""
"2015100000","2015年度","01224","北海道 千歳市","","95,648",""
"2015100000","2015年度","01225","北海道 滝川市","","41,192",""
"2015100000","2015年度","01226","北海道 砂川市","","17,694",""
"2015100000","2015年度","01227","北海道 歌志内市","","3,585",""
"2015100000","2015年度","01228","北海道 深川市","","21,909",""
"2015100000","2015年度","01229","北海道 富良野市","","22,936",""
"2015100000","2015年度","01230","北海道 登別市","","49,625",""
"2015100000","2015年度","01231","北海道 恵庭市","","69,702",""
"2015100000","2015年度","01233","北海道 伊達市","","34,995",""
"2015100000","2015年度","01234","北海道 北広島市","","59,064",""
"2015100000","2015年度","01235","北海道 石狩市","","57,436",""
"2015100000","2015年度","01236","北海道 北斗市","","46,390",""
"2015100000","2015年度","02201","青森県 青森市","","287,648",""
"2015100000","2015年度","02202","青森県 弘前市","","177,411",""
"2015100000","2015年度","02203","青森県 八戸市","","231,257",""
"2015100000","2015年度","02204","青森県 黒石市","","34,284",""
"2015100000","2015年度","02205","青森県 五所川原市","","55,181",""
"2015100000","2015年度","02206","青森県 十和田市","","63,429",""
"2015100000","2015年度","02207","青森県 三沢市","","40,196",""
"2015100000","2015年度","02208","青森県 むつ市","","58,493",""
"2015100000","2015年度","02209","青森県 つがる市","","33,316",""
"2015100000","2015年度","02210","青森県 平川市","","32,106",""
"2015100000","2015年度","03201","岩手県 盛岡市","","297,631",""
"2015100000","2015年度","03202","岩手県 宮古市","","56,676",""
"2015100000","2015年度","03203","岩手県 大船渡市","","38,058",""
"2015100000","2015年度","03205","岩手県 花巻市","","97,702",""
"2015100000","2015年度","03206","岩手県 北上市","","93,511",""
"2015100000","2015年度","03207","岩手県 久慈市","","35,642",""
"2015100000","2015年度","03208","岩手県 遠野市","","28,062",""
"2015100000","2015年度","03209","岩手県 一関市","","121,583",""
"2015100000","2015年度","03210","岩手県 陸前高田市","","19,758",""
"2015100000","2015年度","03211","岩手県 釜石市","","36,802",""
"2015100000","2015年度","03213","岩手県 二戸市","","27,611",""
"2015100000","2015年度","03214","岩手県 八幡平市","","26,355",""
"2015100000","2015年度","03215","岩手県 奥州市","","119,422",""
"2015100000","2015年度","03216","岩手県 滝沢市","","55,463",""
"2015100000","2015年度","04100","宮城県 仙台市","","1,082,159",""
"2015100000","2015年度","04202","宮城県 石巻市","","147,214",""
"2015100000","2015年度","04203","宮城県 塩竈市","","54,187",""
"2015100000","2015年度","04205","宮城県 気仙沼市","","64,988",""
"2015100000","2015年度","04206","宮城県 白石市","","35,272",""
"2015100000","2015年度","04207","宮城県 名取市","","76,668",""
"2015100000","2015年度","04208","宮城県 角田市","","30,180",""
"2015100000","2015年度","04209","宮城県 多賀城市","","62,096",""
"2015100000","2015年度","04211","宮城県 岩沼市","","44,678",""
"2015100000","2015年度","04212","宮城県 登米市","","81,959",""
"2015100000","2015年度","04213","宮城県 栗原市","","69,906",""
"2015100000","2015年度","04214","宮城県 東松島市","","39,503",""
"2015100000","2015年度","04215","宮城県 大崎市","","133,391",""
"2015100000","2015年度","04216","宮城県 富谷市","","51,591",""
"2015100000","2015年度","05201","秋田県 秋田市","","315,814",""
"2015100000","2015年度","05202","秋田県 能代市","","54,730",""
"2015100000","2015年度","05203","秋田県 横手市","","92,197",""
"2015100000","2015年度","05204","秋田県 大館市","","74,175",""
"2015100000","2015年度","05206","秋田県 男鹿市","","28,375",""
"2015100000","2015年度","05207","秋田県 湯沢市","","46,613",""
"2015100000","2015年度","05209","秋田県 鹿角市","","32,038",""
"2015100000","2015年度","05210","秋田県 由利本荘市","","79,927",""
"2015100000","2015年度","05211","秋田県 潟上市","","33,083",""
"2015100000","2015年度","05212","秋田県 大仙市","","82,783",""
"2015100000","2015年度","05213","秋田県 北秋田市","","33,224",""
"2015100000","2015年度","05214","秋田県 にかほ市","","25,324",""
"2015100000","2015年度","05215","秋田県 仙北市","","27,523",""
"2015100000","2015年度","06201","山形県 山形市","","253,832",""
"2015100000","2015年度","06202","山形県 米沢市","","85,953",""
"2015100000","2015年度","06203","山形県 鶴岡市","","129,652",""
