,distance,travel_time,is_express,is_superexpress,is_bus,is_airplane,transfer_times,pass_stations
0,963.4,266.0,False,False,True,True,4,15
1,815.4,204.0,False,False,True,True,3,21
2,995.2,290.0,False,False,False,True,3,16
3,1098.5,364.0,True,False,False,True,4,17
4,1010.2,281.0,True,False,False,True,5,11
5,1093.1,347.0,False,False,True,True,4,52
6,1047.7,232.0,False,False,True,True,3,19
7,1209.7,299.0,False,False,True,True,4,15
8,982.3,310.0,True,False,True,True,5,46
9,990.6,295.0,False,False,False,True,5,22
10,1199.5,229.0,False,False,True,True,3,33
11,1179.0,433.0,True,False,True,True,5,91
12,945.9,255.0,False,False,True,True,5,11
13,1353.1,479.0,True,False,True,True,4,16
14,1019.4,316.0,True,False,False,True,4,13
15,1073.4,397.0,True,False,False,True,5,20
16,971.1,278.0,False,False,False,True,5,18
17,1059.0,362.0,True,False,False,True,5,17
18,1260.3,525.0,True,False,True,True,4,12
19,1153.5,431.0,True,False,False,True,5,25
20,1176.6,473.0,True,False,False,True,5,30
21,1014.4,373.0,False,False,True,True,6,64
22,1227.5,376.0,False,False,True,True,4,34
23,922.3,236.0,False,False,True,True,4,13
24,1045.1,330.0,True,False,True,True,5,17
25,1036.9,316.0,True,False,False,True,4,14
26,1048.4,382.0,True,False,True,True,5,37
27,1123.2,345.0,False,False,True,True,5,7
28,1099.8,408.0,True,False,False,True,5,23
29,993.7,276.0,True,False,False,True,4,8
30,928.7,231.0,False,False,False,True,3,8
31,286.2,178.0,False,True,True,False,1,28
32,940.3,242.0,False,False,False,True,3,9
33,977.0,311.0,False,False,True,True,5,45
34,868.9,340.0,False,True,False,False,0,10
35,719.1,222.0,False,True,True,False,2,10
36,750.7,277.0,False,True,True,False,2,22
37,637.8,188.0,False,True,False,False,1,7
38,765.4,303.0,False,True,False,False,2,27
39,743.0,256.0,False,True,True,False,1,43
40,669.5,254.0,False,True,True,False,2,29
41,659.0,288.0,False,True,True,False,2,19
42,749.2,305.0,False,True,True,False,2,31
43,773.8,368.0,False,True,True,False,3,38
44,755.4,273.0,False,True,False,False,2,20
45,535.5,140.0,False,True,False,False,0,4
46,650.8,372.0,False,True,True,False,2,76
47,529.4,276.0,False,True,True,False,1,62
48,571.2,195.0,False,True,False,False,1,13
49,489.9,193.0,False,True,False,False,1,8
50,705.3,314.0,False,True,False,False,2,30
51,629.8,310.0,False,True,False,False,2,29
52,446.6,163.0,False,True,False,False,1,6
53,512.9,254.0,False,True,True,False,1,52
54,654.6,322.0,False,True,False,False,2,34
55,606.2,229.0,False,True,False,False,0,6
56,565.5,256.0,False,True,True,False,1,55
57,472.7,187.0,False,True,False,False,1,7
58,542.9,170.0,False,True,True,False,1,20
59,358.3,131.0,False,True,False,False,1,8
60,399.1,177.0,False,True,False,False,1,16
61,367.0,143.0,False,True,False,False,1,14
62,512.7,306.0,False,True,False,False,2,21
63,308.1,143.0,False,True,False,False,0,9
64,364.7,133.0,False,True,False,False,1,8
65,388.4,185.0,False,True,False,False,2,14
66,364.4,140.0,False,True,False,False,1,12
67,371.0,160.0,False,True,False,False,1,9
68,447.4,217.0,False,True,True,False,1,7
69,423.2,178.0,False,True,True,False,2,5
70,390.9,170.0,False,True,False,False,1,12
71,399.8,143.0,False,True,True,False,2,14
72,371.8,188.0,False,True,True,False,2,29
73,662.9,234.0,False,True,False,False,0,9
74,728.8,364.0,False,True,True,False,1,19
75,643.6,337.0,False,True,True,False,3,22
76,659.5,286.0,False,True,True,False,1,14
77,700.6,317.0,False,True,False,False,1,19
78,647.4,288.0,False,True,False,False,1,14
