,調査年 コード,調査年,地域 コード,地域,/項目,A1101_総人口【人】,注釈,distance,travel_time,is_express,is_superexpress,is_bus,is_airplane
18,2015100000,2015年度,1219,北海道 紋別市,,"23,109",,1259.9,520.0,True,False,True,True
20,2015100000,2015年度,1221,北海道 名寄市,,"29,048",,1176.6,473.0,True,False,False,True
761,2015100000,2015年度,45209,宮崎県 えびの市,,"19,538",,1234.4,470.0,True,False,True,True
11,2015100000,2015年度,1212,北海道 留萌市,,"22,221",,1179.0,433.0,True,False,True,True
19,2015100000,2015年度,1220,北海道 士別市,,"19,914",,1153.5,431.0,True,False,False,True
591,2015100000,2015年度,32207,島根県 江津市,,"24,468",,983.5,422.0,False,False,True,True
663,2015100000,2015年度,39202,高知県 室戸市,,"13,524",,942.6,414.0,False,False,True,True
785,2015100000,2015年度,47209,沖縄県 名護市,,"61,674",,1783.1,413.0,False,False,True,True
28,2015100000,2015年度,1229,北海道 富良野市,,"22,936",,1099.8,408.0,True,False,False,True
325,2015100000,2015年度,17204,石川県 輪島市,,"27,216",,570.5,404.0,True,True,True,False
789,2015100000,2015年度,47213,沖縄県 うるま市,,"118,898",,1741.2,404.0,False,False,True,True
759,2015100000,2015年度,45207,宮崎県 串間市,,"18,779",,1119.4,403.0,False,False,False,True
15,2015100000,2015年度,1216,北海道 芦別市,,"14,676",,1073.4,397.0,True,False,False,True
666,2015100000,2015年度,39205,高知県 土佐市,,"27,038",,886.9,397.0,False,False,True,True
714,2015100000,2015年度,42203,長崎県 島原市,,"45,436",,1230.1,397.0,False,False,True,True
724,2015100000,2015年度,42214,長崎県 南島原市,,"46,535",,1230.1,397.0,False,False,True,True
669,2015100000,2015年度,39209,高知県 土佐清水市,,"13,778",,1014.2,395.0,True,False,True,True
588,2015100000,2015年度,32204,島根県 益田市,,"47,718",,1072.8,394.0,False,False,True,True
719,2015100000,2015年度,42209,長崎県 対馬市,,"31,457",,1256.8,393.0,False,False,True,True
763,2015100000,2015年度,46203,鹿児島県 鹿屋市,,"103,608",,1195.5,393.0,False,False,True,True
606,2015100000,2015年度,33215,岡山県 美作市,,"27,977",,778.7,392.0,False,False,True,True
668,2015100000,2015年度,39208,高知県 宿毛市,,"20,907",,1006.0,390.0,True,False,True,True
326,2015100000,2015年度,17205,石川県 珠洲市,,"14,625",,589.9,388.0,True,True,True,False
722,2015100000,2015年度,42212,長崎県 西海市,,"28,691",,1240.6,388.0,False,False,True,True
611,2015100000,2015年度,34204,広島県 三原市,,"96,194",,845.7,387.0,False,False,True,True
706,2015100000,2015年度,41205,佐賀県 伊万里市,,"55,238",,1140.1,386.0,False,False,False,True
586,2015100000,2015年度,32202,島根県 浜田市,,"58,105",,964.6,384.0,False,False,True,True
26,2015100000,2015年度,1227,北海道 歌志内市,,"3,585",,1048.4,382.0,True,False,True,True
616,2015100000,2015年度,34210,広島県 庄原市,,"37,000",,997.0,382.0,False,True,True,False
775,2015100000,2015年度,46220,鹿児島県 南さつま市,,"35,439",,1209.5,382.0,False,False,True,True
791,2015100000,2015年度,47215,沖縄県 南城市,,"42,016",,1728.4,382.0,False,False,True,True
22,2015100000,2015年度,1223,北海道 根室市,,"26,917",,1227.5,376.0,False,False,True,True
746,2015100000,2015年度,44208,大分県 竹田市,,"22,332",,1059.3,376.0,False,False,True,True
713,2015100000,2015年度,42202,長崎県 佐世保市,,"255,439",,1199.6,375.0,False,False,True,True
679,2015100000,2015年度,40206,福岡県 田川市,,"48,441",,1143.9,374.0,False,True,False,False
21,2015100000,2015年度,1222,北海道 三笠市,,"9,076",,1014.4,373.0,False,False,True,True
734,2015100000,2015年度,43212,熊本県 上天草市,,"27,006",,1183.7,373.0,False,False,True,True
46,2015100000,2015年度,3202,岩手県 宮古市,,"56,676",,650.8,372.0,False,True,True,False
652,2015100000,2015年度,38202,愛媛県 今治市,,"158,114",,854.8,371.0,False,True,True,False
743,2015100000,2015年度,44205,大分県 佐伯市,,"72,211",,1067.7,371.0,False,False,True,True
308,2015100000,2015年度,15224,新潟県 佐渡市,,"57,255",,412.8,369.0,False,True,True,False
620,2015100000,2015年度,34214,広島県 安芸高田市,,"29,488",,939.5,369.0,False,True,True,False
43,2015100000,2015年度,2209,青森県 つがる市,,"33,316",,773.8,368.0,False,True,True,False
615,2015100000,2015年度,34209,広島県 三次市,,"53,615",,964.6,368.0,False,True,False,False
771,2015100000,2015年度,46216,鹿児島県 日置市,,"49,249",,1192.1,367.0,False,False,True,True
3,2015100000,2015年度,1204,北海道 旭川市,,"339,605",,1098.5,364.0,True,False,False,True
74,2015100000,2015年度,5202,秋田県 能代市,,"54,730",,728.8,364.0,False,True,True,False
